0,6732
1,7808
2,5236
3,3678
4,5744
5,3183
6,4258
7,6325
8,8481
9,5720
10,7886
11,1510
12,2128
13,5742
14,7818
15,4246
16,6313
17,4765
18,2103
19,7083
20,0050
21,1126
22,3282
23,8062
24,1138
25,7576
26,6828
27,3357
28,5423
29,7580
30,0555
31,6004
32,8160
33,1236
34,2203
35,6016
36,7173
37,0148
38,5030
39,8653
40,1720
41,3885
42,0224
43,2380
44,5014
45,7171
46,0246
47,2313
48,5027
49,6183
50,8250
51,6507
52,7664
53,3444
54,5511
55,7676
56,1301
57,3466
58,5533
59,2861
60,1323
61,7752
62,6114
63,7270
64,5618
65,3050
66,1408
67,3564
68,4531
69,6606
70,0311
71,2477
72,4543
73,1082
74,3157
75,6762
76,8838
77,1004
78,3061
79,6784
80,8851
81,0827
82,7355
83,3145
84,5212
85,6377
86,8444
87,6772
88,7848
89,3638
90,2171
91,8420
92,1585
93,0037
94,6365
95,8432
96,2156
97,4222
98,5388
99,7454
100,5783
101,6858
102,5311
103,2640
104,4715
105,6872
106,8047
107,5376
108,7442
109,1266
110,3233
111,5308
112,8123
113,1188
114,2255
115,4322
116,2750
117,3826
118,5882
119,7058
120,4406
121,6563
122,1605
123,7133
124,0200
125,2365
126,3332
127,1760
128,3836
129,4003
130,6168
131,2858
132,0287
133,0715
134,6144
135,8210
136,1376
137,3442
138,0771
139,2846
140,4013
141,5178
142,3427
143,4583
144,6650
145,8726
146,5154
147,7221
148,0386
149,2453
150,8881
151,1857
152,4180
153,0870
154,5660
155,7736
156,5264
157,6331
158,8306
159,1463
160,7812
161,0077
162,2144
163,4110
164,1548
165,3614
166,6846
167,4275
168,6341
169,7417
170,0573
171,7822
172,8087
173,1154
174,3221
175,0558
176,2625
177,4781
178,6857
179,2647
180,8075
181,1142
182,3218
183,6832
184,7008
185,0164
186,2231
187,8668
188,1635
189,4450
190,6425
191,8582
192,1657
193,6438
194,7504
195,5043
196,7118
197,3888
198,4055
199,6022
200,4460
201,5536
202,4877
203,1316
204,3472
205,6106
206,8263
207,1338
208,3405
209,6120
210,8285
211,0352
212,7680
213,5142
214,3470
215,5546
216,6613
217,8778
218,6117
219,4568
220,6635
221,0340
222,2415
223,5130
224,7205
225,0362
226,6600
227,2481
228,4556
229,6623
230,7788
231,5227
232,6283
233,8350
234,1426
235,7864
236,6216
237,8372
238,2006
239,4163
240,1501
241,3667
242,1010
243,8457
244,6700
245,4237
246,6304
247,7460
248,2184
249,3251
250,5326
251,7383
252,4721
253,3273
254,8053
255,2677
256,4744
257,6810
258,0534
259,2600
260,3766
261,1104
262,8556
263,6885
264,8051
265,6403
266,4742
267,2283
268,0522
269,1687
270,3754
271,5821
272,2268
273,4335
274,3776
275,0115
276,2271
277,4347
278,7062
279,0137
280,1204
281,8632
282,1608
283,8151
284,5588
285,7555
286,3445
287,2787
288,8225
289,1382
290,3357
291,4424
292,8248
293,0214
294,7643
295,0718
296,5508
297,6665
298,8732
299,1707
300,7236
301,0302
302,2468
303,4534
304,1873
305,3048
306,5115
307,8720
308,1805
309,2062
310,6675
311,7742
312,0817
313,3532
314,5608
315,3036
316,4103
317,6268
318,0883
319,2050
320,5673
321,6282
322,3520
323,5686
324,8410
325,1476
326,3543
327,8333
328,0408
329,2565
330,0003
331,1160
332,3136
333,5202
334,2631
335,7421
336,8838
337,5377
338,7443
339,8510
340,1575
341,4380
342,6456
